congelada_el,modelo,season,torneo,jornada_label,date,home_team,away_team,prob_local,prob_empate,prob_visitante,prediccion_ganador,parejo,cuenta_en_vivo,tarjetas_esperadas,goles_esperados_local,goles_esperados_visita,nota
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-18,Bayern Munich,Union Berlin,0.847,0.105,0.047,Local,False,False,3.49,3.39,0.81,previa al inicio del seguimiento oficial (no cuenta en la tendencia en vivo); partido de HOY: pudo haber iniciado antes de congelar
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-19,Eintracht Frankfurt,Freiburg,0.515,0.26,0.225,Local,False,True,3.92,1.79,1.13,
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-19,Hamburg,FC Köln,0.423,0.277,0.3,Local,False,True,4.36,1.57,1.3,
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-19,Mönchengladbach,Mainz,0.492,0.257,0.251,Local,False,True,3.94,1.82,1.26,
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-19,Werder Bremen,Augsburg,0.436,0.274,0.289,Local,False,True,4.15,1.61,1.28,
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-19,Stuttgart,Borussia Dortmund,0.313,0.26,0.427,Visitante,False,True,3.88,1.46,1.72,
2026-09-18 18:39,Poisson + Dixon-Coles (con tiros a puerta),2026-2027,Bundesliga,J4,2026-09-20,Bayer Leverkusen,RB Leipzig,0.402,0.258,0.34,Local,False,True,3.9,1.7,1.55,
